province,city,population_2020
北京市,北京市,21893095
天津市,天津市,13866009
河北省,石家庄市,11235086
河北省,唐山市,7717983
河北省,秦皇岛市,3136879
河北省,邯郸市,9413990
河北省,邢台市,7111106
河北省,保定市,11544036
河北省,张家口市,4118908
河北省,承德市,3354444
河北省,沧州市,7300783
河北省,廊坊市,5464087
河北省,衡水市,4212933
山西省,太原市,5304061
山西省,大同市,3105591
山西省,阳泉市,1318505
山西省,长治市,3180884
山西省,晋城市,2194545
山西省,朔州市,1593444
山西省,晋中市,3379498
山西省,运城市,4774508
山西省,忻州市,2689668
山西省,临汾市,3976481
山西省,吕梁市,3398431
内蒙古,呼和浩特市,3446100
内蒙古,包头市,2709378
内蒙古,乌海市,556621
内蒙古,赤峰市,4035967
内蒙古,通辽市,2873168
内蒙古,鄂尔多斯市,2153638
内蒙古,呼伦贝尔市,2242875
内蒙古,巴彦淖尔市,1538715
内蒙古,乌兰察布市,1706328
内蒙古,兴安盟,1496900
内蒙古,锡林郭勒盟,1107463
内蒙古,阿拉善盟,262361
辽宁省,沈阳市,9070093
辽宁省,大连市,7450785
辽宁省,鞍山市,3325372
辽宁省,抚顺市,1861372
辽宁省,本溪市,1326018
辽宁省,丹东市,2188442
辽宁省,锦州市,2703853
辽宁省,营口市,2328582
辽宁省,阜新市,1647280
辽宁省,辽阳市,1604580
辽宁省,盘锦市,1389691
辽宁省,铁岭市,2388294
辽宁省,朝阳市,2872857
辽宁省,葫芦岛市,2434138
吉林省,长春市,9066906
吉林省,吉林市,3623713
吉林省,四平市,1814733
吉林省,辽源市,996903
吉林省,通化市,1812114
吉林省,白山市,951866
吉林省,松原市,2252994
吉林省,白城市,1551378
吉林省,延边州,1941700
黑龙江省,哈尔滨市,10009854
黑龙江省,齐齐哈尔市,4067489
黑龙江省,鸡西市,1502060
黑龙江省,鹤岗市,891271
黑龙江省,双鸭山市,1208871
黑龙江省,大庆市,2781562
黑龙江省,伊春市,878881
黑龙江省,佳木斯市,2156505
黑龙江省,七台河市,689621
黑龙江省,牡丹江市,2290208
黑龙江省,黑河市,1286401
黑龙江省,绥化市,3756169
黑龙江省,大兴安岭地区,331276
上海市,上海市,24870895
江苏省,南京市,9314685
江苏省,无锡市,7462135
江苏省,徐州市,9027392
江苏省,常州市,5278121
江苏省,苏州市,12748262
江苏省,南通市,7726635
江苏省,连云港市,4599360
江苏省,淮安市,4556231
江苏省,盐城市,6709629
江苏省,扬州市,4559797
江苏省,镇江市,3210418
江苏省,泰州市,4512762
江苏省,宿迁市,4986192
浙江省,杭州市,11936010
浙江省,宁波市,9404283
浙江省,温州市,9572903
浙江省,嘉兴市,5400868
浙江省,湖州市,3367579
浙江省,绍兴市,5270977
浙江省,金华市,7050683
浙江省,衢州市,2276184
浙江省,舟山市,1157817
浙江省,台州市,6622888
浙江省,丽水市,2507396
安徽省,合肥市,9369881
安徽省,芜湖市,3644420
安徽省,蚌埠市,3296408
安徽省,淮南市,3033528
安徽省,马鞍山市,2159930
安徽省,淮北市,1970265
安徽省,铜陵市,1311726
安徽省,安庆市,4165284
安徽省,黄山市,1330565
安徽省,滁州市,4044033
安徽省,阜阳市,8200264
安徽省,宿州市,5324476
安徽省,六安市,4393699
安徽省,亳州市,4996844
安徽省,池州市,1342764
安徽省,宣城市,2500063
