name,name_en,region_code,population,area,density,source_year,source_name
斐济,Fiji,FJI,889953,19351.22,45.99,2019,Natural Earth 110m Admin 0 countries
坦桑尼亚,Tanzania,TZA,58005463,936793.28,61.92,2019,Natural Earth 110m Admin 0 countries
西撒哈拉,Western Sahara,ESH,603253,96882.36,6.23,2017,Natural Earth 110m Admin 0 countries
加拿大,Canada,CAN,37589262,9986076.67,3.76,2019,Natural Earth 110m Admin 0 countries
美国,United States of America,USA,328239523,9493417.3,34.58,2019,Natural Earth 110m Admin 0 countries
哈萨克斯坦,Kazakhstan,KAZ,18513930,2720727.32,6.8,2019,Natural Earth 110m Admin 0 countries
乌兹别克斯坦,Uzbekistan,UZB,33580650,460615.3,72.9,2019,Natural Earth 110m Admin 0 countries
巴布亚新几内亚,Papua New Guinea,PNG,8776109,466532.96,18.81,2019,Natural Earth 110m Admin 0 countries
印度尼西亚,Indonesia,IDN,270625568,1827223.5,148.11,2019,Natural Earth 110m Admin 0 countries
阿根廷,Argentina,ARG,44938712,2784576.89,16.14,2019,Natural Earth 110m Admin 0 countries
智利,Chile,CHL,18952038,814668.81,23.26,2019,Natural Earth 110m Admin 0 countries
刚果民主共和国,Democratic Republic of the Congo,COD,86790567,2333591.93,37.19,2019,Natural Earth 110m Admin 0 countries
索马里,Somalia,SOM,10192317.3,486270.75,20.96,2019,Natural Earth 110m Admin 0 countries
肯尼亚,Kenya,KEN,52573973,593398.62,88.6,2019,Natural Earth 110m Admin 0 countries
苏丹,Sudan,SDN,42813238,1856202.21,23.06,2019,Natural Earth 110m Admin 0 countries
乍得,Chad,TCD,15946876,1274814.69,12.51,2019,Natural Earth 110m Admin 0 countries
海地,Haiti,HTI,11263077,28624.64,393.47,2019,Natural Earth 110m Admin 0 countries
多米尼加,Dominican Republic,DOM,10738958,48306.27,222.31,2019,Natural Earth 110m Admin 0 countries
俄罗斯,Russia,RUS,144373535,16926455.47,8.53,2019,Natural Earth 110m Admin 0 countries
巴哈马,The Bahamas,BHS,389482,15614.86,24.94,2019,Natural Earth 110m Admin 0 countries
福克兰群岛,Falkland Islands,FLK,3398,16311.61,0.21,2016,Natural Earth 110m Admin 0 countries
挪威,Norway,NOR,5347896,394589.78,13.55,2019,Natural Earth 110m Admin 0 countries
格陵兰,Greenland,GRL,56225,2190190.43,0.03,2019,Natural Earth 110m Admin 0 countries
法属南部和南极领地,French Southern and Antarctic Lands,ATF,140,11552.23,0.01,2017,Natural Earth 110m Admin 0 countries
东帝汶,East Timor,TLS,1293119,14772.26,87.54,2019,Natural Earth 110m Admin 0 countries
南非,South Africa,ZAF,58558270,1217958.24,48.08,2019,Natural Earth 110m Admin 0 countries
莱索托,Lesotho,LSO,2125268,27532.64,77.19,2019,Natural Earth 110m Admin 0 countries
墨西哥,Mexico,MEX,127575529,1973787.84,64.63,2019,Natural Earth 110m Admin 0 countries
乌拉圭,Uruguay,URY,3461734,176976.94,19.56,2019,Natural Earth 110m Admin 0 countries
巴西,Brazil,BRA,211049527,8540552.42,24.71,2019,Natural Earth 110m Admin 0 countries
玻利维亚,Bolivia,BOL,11513100,1088819.28,10.57,2019,Natural Earth 110m Admin 0 countries
秘鲁,Peru,PER,32510453,1314818.49,24.73,2019,Natural Earth 110m Admin 0 countries
哥伦比亚,Colombia,COL,50339443,1156904.04,43.51,2019,Natural Earth 110m Admin 0 countries
巴拿马,Panama,PAN,4246439,75578.43,56.19,2019,Natural Earth 110m Admin 0 countries
哥斯达黎加,Costa Rica,CRI,5047561,54049.46,93.39,2019,Natural Earth 110m Admin 0 countries
尼加拉瓜,Nicaragua,NIC,6545502,130040.19,50.33,2019,Natural Earth 110m Admin 0 countries
