地区,2010年常住人口（人）,2020年常住人口（人）,单位,来源,发布日期,备注
全区,1081022,1271424,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
赵巷镇,74409,143350,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
徐泾镇,127936,198376,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
华新镇,153203,200124,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
重固镇,39756,65695,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
白鹤镇,92288,91130,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
朱家角镇,94351,94067,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
练塘镇,68485,53929,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
金泽镇,67735,44517,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
夏阳街道,137321,149517,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
盈浦街道,118708,128691,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
香花桥街道,106830,102028,人,https://www.shqp.gov.cn/stat/tjtzgg/20210816/885923.html,2021-08-16,2020年普查时点：11月1日零时；公报为初步汇总数据。；2010年数据沿用同一公报的对照表；未独立核验两期边界变化。；人口增减不能直接视为净迁移；缺少同期面积和边界，不计算街镇密度。
