地区,2020年常住人口（万人）,单位,来源,发布日期,备注
全区,124.25,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
定海路街道,8.96,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
平凉路街道,5.78,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
江浦路街道,8.24,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
四平路街道,9.24,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
控江路街道,10.28,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
长白新村街道,7.38,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
延吉新村街道,8.49,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
殷行街道,18.25,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
大桥街道,9.54,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
五角场街道,14.47,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
新江湾城街道,6.94,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
长海路街道,16.69,万人,https://www.shyp.gov.cn/shypq/zmhd-zxzx/20230420/426507.html,2023-04-20,数据为2020年人口普查常住人口，网页答复日期为2023年4月20日。；原表以万人保留两位小数；街道加总124.26万人，公布总计124.25万人，保留两者。；比较的是人口总量；没有同期面积，不能据此判断人口密度。
